concept_id,concept_name,domain_id,vocabulary_id,standard_concept,codelist_name,cohort_name
4018560,Homograft aortic valve replacement,Procedure,SNOMED,standard,aortic_valve_replacement,aortic_valve_replacement
4018561,Mechanical prosthetic aortic valve replacement,Procedure,SNOMED,standard,aortic_valve_replacement,aortic_valve_replacement
4020077,Xenograft aortic valve replacement,Procedure,SNOMED,standard,aortic_valve_replacement,aortic_valve_replacement
4095407,Replacement of aortic valve,Procedure,SNOMED,standard,aortic_valve_replacement,aortic_valve_replacement
4166457,Bi-leaflet aortic valve replacement,Procedure,SNOMED,standard,aortic_valve_replacement,aortic_valve_replacement
4170281,Ball valve aortic valve replacement,Procedure,SNOMED,standard,aortic_valve_replacement,aortic_valve_replacement
4339824,Aortic valve replacement and replacement of ascending aorta,Procedure,SNOMED,standard,aortic_valve_replacement,aortic_valve_replacement
4020077,Xenograft aortic valve replacement,Procedure,SNOMED,standard,aortic_valve_replacement_potential_tavi,aortic_valve_replacement
4095407,Replacement of aortic valve,Procedure,SNOMED,standard,aortic_valve_replacement_potential_tavi,aortic_valve_replacement
4166457,Bi-leaflet aortic valve replacement,Procedure,SNOMED,standard,aortic_valve_replacement_potential_tavi,aortic_valve_replacement
4170281,Ball valve aortic valve replacement,Procedure,SNOMED,standard,aortic_valve_replacement_potential_tavi,aortic_valve_replacement
36676805,Transcatheter aortic valve implantation,Procedure,SNOMED,standard,tavi,tavi
37157401,Bioprosthetic transcatheter aortic valve implantation,Procedure,SNOMED,standard,tavi,tavi
4011473,Transarterial approach,Observation,SNOMED,standard,tavi_additional,tavi
4044372,Transaxillary approach,Observation,SNOMED,standard,tavi_additional,tavi
4125581,Via femoral artery,Observation,SNOMED,standard,tavi_additional,tavi
4129306,Transaortic approach,Observation,SNOMED,standard,tavi_additional,tavi
4129781,Via subclavian artery,Observation,SNOMED,standard,tavi_additional,tavi
44517104,Other specified approach to organ through artery,Observation,OPCS4,standard,tavi_additional,tavi
44793263,Transapical approach to heart,Observation,SNOMED,standard,tavi_additional,tavi
